timestamp,status_postura,angulo_coluna_deg,pitch_cabeca_deg,shoulder_diff,duracao_postura_ruim_s,min_desde_ultimo_alongar
2025-10-21 20:29:38,boa,0.82,-35.38,0.0363,0.0,0.1
2025-10-21 20:29:38,boa,0.83,-36.69,0.0348,0.0,0.1
2025-10-21 20:29:38,boa,0.86,-37.54,0.0347,0.0,0.1
2025-10-21 20:29:38,boa,0.78,-38.14,0.0261,0.0,0.1
2025-10-21 20:29:38,boa,0.77,-38.27,0.0283,0.0,0.1
2025-10-21 20:29:38,boa,0.76,-38.38,0.0268,0.0,0.1
2025-10-21 20:29:39,boa,0.77,-38.57,0.0312,0.0,0.1
2025-10-21 20:29:39,boa,0.54,-38.83,0.0284,0.0,0.1
2025-10-21 20:29:39,boa,0.31,-39.14,0.0222,0.0,0.1
2025-10-21 20:29:39,boa,0.26,-39.45,0.0219,0.0,0.1
2025-10-21 20:29:39,boa,0.16,-39.87,0.0211,0.0,0.1
2025-10-21 20:29:39,boa,0.00,-40.29,0.0202,0.0,0.1
2025-10-21 20:29:39,boa,0.08,-40.69,0.0212,0.0,0.1
2025-10-21 20:29:39,boa,0.12,-41.02,0.0211,0.0,0.1
2025-10-21 20:29:39,boa,0.27,-41.34,0.0230,0.0,0.1
2025-10-21 20:29:39,boa,0.14,-41.55,0.0196,0.0,0.1
2025-10-21 20:29:39,boa,0.03,-41.55,0.0193,0.0,0.1
2025-10-21 20:29:39,boa,0.01,-41.42,0.0204,0.0,0.1
2025-10-21 20:29:40,boa,0.04,-41.01,0.0215,0.0,0.1
2025-10-21 20:29:40,boa,0.06,-40.60,0.0246,0.0,0.1
2025-10-21 20:29:40,boa,0.13,-39.27,0.0266,0.0,0.1
2025-10-21 20:29:40,boa,0.05,-38.31,0.0189,0.0,0.1
2025-10-21 20:29:40,boa,0.05,-37.81,0.0224,0.0,0.1
2025-10-21 20:29:40,boa,0.23,-37.79,0.0180,0.0,0.1
2025-10-21 20:29:40,boa,0.32,-38.12,0.0290,0.0,0.1
2025-10-21 20:29:40,boa,0.59,-38.61,0.0327,0.0,0.1
2025-10-21 20:29:40,boa,0.56,-38.87,0.0312,0.0,0.1
2025-10-21 20:29:40,boa,0.53,-38.84,0.0294,0.0,0.1
2025-10-21 20:29:40,boa,0.52,-38.74,0.0292,0.0,0.1
2025-10-21 20:29:40,boa,0.47,-38.64,0.0293,0.0,0.1
2025-10-21 20:29:41,boa,0.32,-37.78,0.0244,0.0,0.1
2025-10-21 20:29:41,boa,0.01,-37.30,0.0241,0.0,0.1
2025-10-21 20:29:41,boa,0.09,-37.20,0.0239,0.0,0.1
2025-10-21 20:29:41,boa,0.13,-37.29,0.0234,0.0,0.1
